"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
102620,1982-03-29 16:00:00,0,"DWS-RQIS","NONE",4.9,4.2,49,6.9,0.11,1.06,2.6,4.9,0.04,0.14,#n/a,2.52,0.003,6.78,2,24.7,"U1H006Q01","U10M"
102620,1982-05-13 16:00:00,0,"DWS-RQIS","NONE",8.8,12.5,101,14.2,0.05,0.74,4.7,13.2,0.02,0.04,#n/a,7,0.019,6.18,2,48.4,"U1H006Q01","U10M"
102620,1982-05-21 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,14.1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-05-28 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,14.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-06-07 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,14.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-06-28 16:00:00,0,"DWS-RQIS","NONE",11.3,20.8,109,17.9,0.15,0.75,5.8,17,0.02,0.02,#n/a,7.29,0.011,5.97,2,43.6,"U1H006Q01","U10M"
102620,1982-08-02 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,20.5,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-08-09 17:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,21,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-08-16 16:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,21.9,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
102620,1982-08-23 16:00:00,0,"DWS-RQIS","NONE",12.7,28.5,148,23.6,0.1,0.67,6.3,21.9,0.02,0.02,#n/a,7.08,0.003,5.34,11.4,54.1,"U1H006Q01","U10M"
102620,1982-08-30 12:00:00,0,"DWS-RQIS","NONE",#n/a,#n/a,#n/a,25.1,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,#n/a,"U1H006Q01","U10M"
